strategy_00,strategy_01,strategy_02,strategy_03,strategy_04,strategy_05,strategy_06,strategy_07,strategy_08,strategy_09,strategy_10,strategy_11,strategy_12,strategy_13,strategy_14,strategy_15,strategy_16,strategy_17,strategy_18,strategy_19,strategy_20,strategy_21,strategy_22,strategy_23,strategy_24,strategy_25,strategy_26,strategy_27,strategy_28,strategy_29,strategy_30,strategy_31,strategy_32,strategy_33,strategy_34,strategy_35,strategy_36,strategy_37,strategy_38,strategy_39,strategy_40,strategy_41,strategy_42,strategy_43,strategy_44,strategy_45,strategy_46,strategy_47,strategy_48,strategy_49
0.015022,-0.078130,-0.056757,-0.014836,0.003035,0.027089,0.042235,-0.042494,0.010029,-0.080847,-0.047843,0.070883,-0.050837,0.005230,-0.084358,0.004090,-0.048660,0.003544,0.025544,-0.016856,0.042346,-0.021027,-0.021911,-0.006962,0.063058,-0.012034,0.018698,-0.045877,0.035901,-0.026635,-0.018544,-0.023432,0.086423,0.050543,-0.002856,-0.006702,0.007896,-0.038966,-0.043918,-0.060257,-0.059559,-0.053830,-0.042442,0.038083,-0.031879,0.020849,-0.019008,-0.062206,-0.051242,0.009320
0.057206,-0.046218,0.066598,0.061494,0.069189,0.024892,0.022999,0.076126,-0.024152,-0.025484,-0.007007,0.016083,0.014584,-0.019487,0.040973,-0.035971,0.045212,0.063089,0.079228,0.048629,0.024466,0.031713,-0.040877,0.047228,-0.013205,0.115354,-0.008797,0.008804,-0.049907,0.036545,0.044032,-0.011260,-0.006686,0.034527,0.032761,-0.010053,0.063522,-0.003175,-0.049906,0.009524,-0.016742,0.007412,-0.020181,-0.006378,-0.028872,-0.007011,0.096018,-0.007524,0.077859,0.065431
0.062123,-0.001353,-0.056808,-0.042632,-0.037735,0.049760,0.047896,0.086589,0.042668,-0.053220,-0.020957,0.064707,-0.048849,0.025982,-0.003839,0.056214,-0.015253,0.016712,-0.012131,-0.035205,0.047726,0.014285,-0.034981,-0.017917,0.000311,0.031047,0.013387,0.051953,0.020170,0.029474,-0.039034,0.031538,0.019931,0.031378,0.074033,-0.050311,-0.017777,0.061201,0.065666,-0.070051,0.042648,-0.003224,0.062851,0.028364,-0.004237,0.057003,-0.016810,-0.006050,-0.016009,-0.004307
-0.022256,-0.031674,0.053419,0.067400,0.027990,0.016625,-0.002966,0.066335,0.056178,0.063848,0.083073,-0.036993,0.038555,-0.010198,0.053215,0.009624,0.064825,0.058057,0.028240,0.026635,0.035266,0.036467,-0.026463,0.011552,0.049144,0.046152,-0.047980,-0.005206,0.032944,0.035947,0.012433,0.120803,-0.013062,0.062953,0.068220,0.040849,0.056865,0.041172,0.051286,0.097936,0.025151,0.052161,0.061061,0.055317,0.064045,0.001706,-0.015506,-0.009079,-0.043588,0.060057
-0.042185,0.022405,-0.034089,0.013962,0.069268,0.064371,0.038444,0.053308,0.075209,-0.019291,0.002228,-0.029006,0.007837,0.015173,-0.020859,-0.004757,0.080575,0.118928,0.016278,0.026247,-0.003185,0.026303,-0.057206,0.008435,0.014551,-0.025575,-0.014546,0.040539,0.002340,-0.045402,0.021449,0.094094,0.025722,-0.011946,0.024192,-0.023795,0.056186,0.004644,0.081960,0.030572,0.104834,0.025866,0.068438,-0.008286,-0.025348,0.061794,-0.038350,-0.075220,0.069743,-0.000116
0.001795,0.016354,0.016599,-0.039318,0.050005,0.079687,-0.001159,-0.035622,-0.014248,-0.014927,-0.016081,0.044774,-0.094618,-0.025229,0.027473,-0.062097,0.070606,0.045626,-0.009721,0.016759,0.105545,-0.011643,-0.026560,0.056992,0.010643,0.018087,-0.007259,-0.023317,0.032194,0.028011,0.035784,-0.035085,-0.003330,-0.001076,-0.012955,-0.051413,-0.120741,0.021487,-0.067883,-0.008941,0.075773,-0.151781,0.006003,-0.054837,0.078165,-0.053491,0.078539,0.051325,-0.020814,0.001287
-0.005352,0.040430,-0.010358,-0.060545,-0.005458,-0.000928,-0.005309,0.060666,-0.008531,0.013988,0.033868,0.025850,0.011106,0.007937,-0.060909,-0.032873,0.004879,0.001543,0.021116,0.002737,0.042695,-0.023766,0.027571,0.056156,-0.002600,-0.039523,-0.002873,-0.029951,0.016372,0.021813,-0.035665,-0.020735,-0.006529,0.047442,-0.067616,-0.006620,-0.015579,0.035771,-0.034659,-0.010283,-0.036765,0.025637,0.007685,-0.053853,-0.009116,0.023040,-0.004530,-0.032064,0.028526,-0.016055
0.009436,0.056368,0.033690,0.092473,-0.058671,0.014114,-0.035003,0.072817,0.080938,0.029516,0.045337,0.037849,0.038757,-0.022000,0.005179,0.097340,0.021184,-0.040352,-0.042262,0.013625,0.054694,-0.021180,-0.004335,0.026738,-0.045164,-0.022673,-0.024969,0.112626,-0.033566,0.031896,0.047567,0.004469,-0.022257,0.030346,0.004847,-0.033670,-0.023826,0.020917,-0.018421,0.058428,0.022628,-0.010812,0.108142,0.012215,0.003155,-0.041479,0.063874,0.057060,0.015592,0.009368
-0.063580,-0.032027,-0.015873,0.040397,0.051690,-0.006362,-0.003746,0.034797,-0.038501,0.030428,0.010168,0.034262,0.013923,-0.004883,0.079072,-0.016180,0.010455,0.004487,-0.032172,-0.001473,0.007671,-0.055547,-0.013215,-0.042594,0.023988,-0.086318,-0.015182,0.051188,0.062262,-0.015860,0.009113,-0.010186,0.028886,-0.000656,0.015068,0.009281,0.036121,0.021480,0.003585,0.014926,-0.031260,0.041181,-0.006349,0.021806,-0.009450,0.053706,-0.073050,0.028309,0.018701,0.011556
-0.035674,-0.041793,0.002930,-0.036304,0.014703,0.000690,-0.020007,0.016208,-0.122437,-0.012018,-0.008361,-0.006173,-0.047509,0.021606,0.013216,-0.023995,-0.016502,0.046672,0.003095,0.035525,-0.039821,0.019941,-0.059785,0.016199,-0.051269,0.004880,0.020796,0.005754,0.033093,0.044517,-0.057266,-0.012112,-0.079332,0.069541,-0.002186,-0.020866,-0.018698,-0.072576,-0.000447,-0.048368,-0.035884,-0.074533,-0.050151,-0.038983,0.036163,-0.011314,-0.024678,0.008269,0.000780,0.003842
0.003864,0.058398,-0.016664,-0.017768,-0.066422,0.030593,0.029934,0.023132,-0.000626,0.007394,0.003715,0.015833,0.089541,0.049796,-0.024943,-0.008494,-0.021671,-0.007093,0.020830,-0.023727,-0.028305,0.052660,0.009825,-0.051830,0.033392,0.038430,-0.008733,-0.089433,0.016250,0.004150,0.012403,0.063460,-0.068555,0.030097,-0.002051,-0.038251,0.043219,0.049566,-0.015853,-0.013362,-0.024107,0.009914,0.002551,0.014702,0.079774,0.038447,0.041972,0.012208,-0.041097,-0.025900
0.025634,-0.005484,0.023569,-0.078127,0.044710,-0.036714,0.000421,-0.044282,0.012961,-0.048311,-0.040366,0.051945,0.043010,0.049636,-0.001413,-0.045304,-0.092497,0.004156,0.009672,0.034776,0.010162,0.003623,0.044565,0.063865,-0.002444,-0.021660,-0.031058,0.078786,-0.032606,-0.034499,-0.001750,-0.055247,0.002860,-0.016458,0.032939,-0.011675,-0.041262,-0.057500,-0.015878,0.021065,0.043780,-0.000169,0.038444,-0.005023,0.001564,-0.073489,0.055892,0.008715,-0.042777,-0.035273
-0.013952,0.039628,-0.018690,0.069049,0.024912,-0.046108,-0.044631,0.025652,0.001928,-0.005398,0.013279,-0.017667,0.011026,0.045318,0.007564,0.045696,-0.002088,0.124293,0.054040,0.007500,-0.013870,0.047951,0.030870,-0.011824,-0.058678,0.087190,0.049537,0.125865,0.046306,-0.004396,-0.009644,0.089495,-0.017150,0.013589,-0.005369,-0.043234,0.041881,-0.039108,-0.014584,0.030475,0.051666,0.040427,0.065110,0.046472,0.001036,-0.007637,-0.009561,0.045782,0.037057,0.034230
0.020418,0.054093,-0.013893,-0.002646,0.033138,0.121848,-0.005162,-0.001589,-0.031129,-0.048849,0.046352,0.030881,-0.002106,0.015599,-0.010140,0.031229,0.007481,0.047464,0.000581,0.023270,0.011403,0.044262,-0.031733,0.082665,-0.035209,0.000514,-0.002548,0.009232,0.040509,0.013475,0.063246,0.010112,-0.009503,0.054647,0.041912,0.001540,0.064482,-0.004470,0.005595,-0.022109,0.043130,0.039893,-0.078652,0.060971,-0.090023,0.025607,0.025569,-0.028565,0.033730,-0.044129
-0.013877,0.033853,-0.037302,0.066881,0.014168,0.049014,-0.049943,0.000860,-0.026688,-0.000866,0.010541,-0.055348,-0.003042,0.070469,-0.003424,-0.009894,0.046878,-0.038003,0.047233,-0.028455,-0.036115,0.008991,-0.028419,-0.033683,-0.019367,0.019714,-0.054142,0.065594,-0.067390,0.062527,0.004828,0.058490,0.041040,0.000028,0.013772,0.026340,0.051832,-0.022550,0.015383,-0.031281,-0.061336,-0.060473,0.013775,0.064791,0.001941,0.034356,0.021415,0.020554,-0.020452,-0.017724
0.013315,0.042837,0.028370,0.032902,-0.061580,0.038190,-0.111951,0.014007,0.082138,0.002992,0.001198,-0.037745,-0.038574,-0.069189,-0.070631,0.028294,-0.008109,-0.027789,0.027319,-0.059425,-0.065894,-0.016855,-0.095266,-0.046275,-0.023284,-0.019673,0.059121,-0.064539,0.047480,0.013790,-0.061030,0.048850,-0.027640,-0.051248,-0.004041,0.004685,-0.006444,-0.054222,-0.014677,-0.042204,-0.025326,-0.019468,-0.052023,-0.038093,-0.029602,-0.018528,0.057235,0.020867,0.031939,0.059958
0.011571,0.010374,0.020867,-0.014181,0.001285,-0.066849,-0.028692,0.083518,0.047655,0.061328,0.065172,-0.023729,0.034962,0.008891,0.046699,0.045488,0.056171,0.017187,0.027130,0.067331,-0.038156,0.009980,0.000687,0.008054,0.069518,0.113615,0.045340,0.026656,0.055414,0.024922,0.020125,0.063148,-0.007339,-0.023121,0.043915,0.009933,-0.012846,0.039257,0.017239,0.023068,-0.003674,-0.011931,0.013077,0.041273,0.031235,0.014271,0.054640,0.042291,0.049501,0.017642
-0.001029,0.045903,-0.044965,-0.007854,0.006971,-0.020774,0.012108,0.009035,-0.113217,0.017445,0.016603,-0.037388,-0.013817,0.018685,0.006354,-0.003359,-0.005173,0.005945,-0.055001,0.031021,0.034559,0.016111,-0.039647,-0.084641,-0.007663,0.028326,0.048338,0.013280,-0.044030,-0.097293,0.003394,0.010567,-0.036174,0.066222,-0.009322,0.030459,-0.009127,0.013464,0.010694,-0.015336,-0.005634,-0.042570,0.004016,0.045976,-0.044168,0.001787,-0.055778,-0.065172,0.011768,-0.027554
0.057076,0.007979,-0.000200,-0.049932,0.037933,-0.118971,-0.117658,-0.067022,-0.053045,-0.025423,-0.012552,-0.033862,0.003472,-0.041891,-0.070137,-0.054135,0.039669,-0.025329,-0.024938,-0.043317,0.007127,0.006655,0.034626,-0.049771,0.013485,0.069529,-0.027118,-0.074396,-0.066918,0.024974,-0.103195,-0.087935,-0.050996,-0.035268,-0.027664,0.053667,-0.021452,-0.038786,-0.053665,-0.000602,-0.029953,0.015925,-0.036571,-0.112725,0.007992,-0.014212,0.046726,0.013753,-0.073054,-0.052281
0.035753,0.013957,0.026577,-0.007756,-0.031916,-0.039701,-0.007663,-0.013351,-0.045914,0.051206,-0.028929,-0.022562,0.021342,-0.080464,0.014460,0.027936,0.010975,-0.037302,-0.090441,0.006149,0.002936,-0.128295,-0.073517,-0.006253,-0.037296,-0.016569,0.004688,-0.068701,-0.073112,-0.083657,-0.020041,0.038341,-0.025784,0.019129,-0.069245,-0.003415,0.026795,-0.032185,-0.035054,-0.084522,-0.009694,-0.051596,-0.024156,-0.063963,-0.009197,0.052792,0.008531,-0.052902,-0.000051,-0.021224
0.003278,0.020358,0.017967,-0.096239,0.034529,-0.026916,-0.001023,-0.056718,-0.006093,0.001302,0.000833,-0.023028,-0.004372,0.007317,0.022993,-0.074787,-0.013864,-0.013415,-0.016999,-0.022943,0.024867,0.025660,-0.058684,-0.010498,-0.017234,-0.016117,-0.001582,-0.024028,0.037086,0.031719,-0.047116,-0.001807,-0.034011,-0.068711,-0.060112,-0.051908,-0.010585,0.010209,-0.011048,-0.010452,0.052340,0.060153,0.062024,-0.043487,-0.072792,-0.060606,-0.015518,-0.048070,-0.055798,-0.011734
-0.034622,0.029807,-0.007087,0.043522,0.056167,-0.008339,0.009696,-0.059633,0.063632,-0.008354,-0.043393,-0.065106,0.044528,-0.027790,0.089149,0.047873,0.049130,-0.021935,0.005038,0.066237,-0.041958,-0.037516,0.060428,-0.018582,0.068222,0.018537,-0.014676,0.038346,0.083658,0.010551,-0.025152,0.084149,0.034885,0.013633,0.048638,-0.029928,0.087599,-0.019330,0.089136,0.007331,-0.010879,-0.007377,0.018810,-0.002122,-0.057462,-0.022386,0.018057,0.043708,-0.038287,0.034393
-0.016998,-0.006211,0.023865,-0.051698,0.035459,0.018739,0.018067,-0.017615,0.036708,0.034539,-0.010447,-0.026416,-0.040621,0.010199,-0.019092,-0.027865,-0.045433,-0.038366,-0.024725,-0.017134,-0.039149,0.030801,-0.076235,-0.075241,-0.034896,0.003997,-0.024794,-0.003460,-0.021734,0.059273,0.003983,-0.048866,-0.015096,-0.011445,-0.021881,0.008934,-0.011170,-0.001117,-0.057218,-0.019624,-0.049901,-0.011428,-0.012753,-0.013377,0.077932,0.010037,-0.020937,-0.053317,-0.032398,0.000030
0.009897,0.046733,0.014592,-0.079755,-0.030397,-0.036958,-0.048721,0.014149,-0.058451,0.008542,-0.115665,-0.026052,-0.027116,-0.015735,-0.019386,-0.113473,-0.073125,0.007631,-0.105037,-0.085844,0.016181,-0.040098,-0.020519,0.031409,0.035521,-0.076758,0.017102,-0.039643,-0.012957,0.074367,-0.022857,-0.081469,-0.086134,-0.060941,-0.042967,-0.020043,-0.043359,0.056768,-0.078061,-0.088561,-0.010479,-0.044891,0.010087,0.035143,-0.026045,0.020117,-0.037672,0.006573,-0.022476,0.001805
0.045806,0.018302,-0.038967,0.021085,-0.020554,0.000387,-0.001217,-0.061161,-0.009092,-0.020554,-0.030488,-0.022651,-0.002287,-0.009565,-0.058999,0.073456,-0.038453,0.006701,-0.065372,-0.058220,-0.067068,-0.042868,0.012367,-0.046018,0.006052,0.053131,0.054689,-0.115482,0.044975,-0.073457,0.056287,-0.039056,-0.012415,-0.038132,0.030578,0.008439,-0.046992,-0.005751,-0.061439,0.006466,-0.059558,-0.055171,0.042838,-0.074807,-0.039485,-0.015583,-0.033827,0.052323,-0.099381,0.009883
-0.055585,-0.019010,0.042736,0.002955,0.081866,0.017626,0.034659,-0.042985,0.050069,0.080844,-0.064976,-0.020321,-0.019733,0.009850,0.029348,-0.087180,-0.073377,0.044343,0.031681,-0.022198,-0.067018,-0.040091,-0.009496,-0.041921,0.024984,-0.038559,-0.002202,0.049022,-0.081940,-0.020335,0.002701,0.024163,-0.011702,-0.004024,-0.041971,0.016993,0.031201,-0.025821,-0.075487,0.025692,-0.019452,-0.013100,0.015256,0.025348,0.022058,0.011254,-0.018925,0.042553,0.035353,-0.043453
-0.007578,-0.064860,-0.045038,-0.031308,0.000540,-0.009494,0.032982,0.049242,0.024726,-0.001826,-0.044444,-0.005164,0.027348,-0.032523,0.002481,-0.001169,-0.010187,-0.047653,-0.102637,0.077184,-0.012524,0.003575,0.007160,0.011615,0.042938,0.059148,-0.063143,-0.021563,-0.061469,-0.039254,-0.027469,-0.019851,0.000988,-0.034515,0.002180,0.028713,-0.035365,0.077601,-0.047411,0.016214,0.049053,-0.096021,-0.015311,-0.003144,0.004759,0.048856,-0.006067,-0.002323,0.046059,-0.027058
-0.070260,-0.019530,-0.024520,-0.032134,0.020331,-0.063945,-0.041093,-0.078237,-0.062592,-0.035802,-0.071491,-0.027508,0.030107,-0.052036,-0.049939,0.003168,0.054683,-0.028664,-0.008656,-0.019794,-0.019401,-0.068257,0.002539,-0.020593,-0.026238,-0.055193,-0.034116,-0.059677,-0.067814,-0.030231,-0.045695,-0.030234,-0.040029,-0.023914,-0.015226,-0.009896,-0.085671,-0.029109,-0.037538,-0.030631,-0.002611,-0.015297,-0.017740,-0.063241,-0.067241,-0.033015,-0.024692,-0.054626,-0.035080,0.036523
0.043919,-0.000495,-0.026654,0.080585,0.007218,-0.109092,-0.067594,0.055211,-0.091659,-0.010048,-0.014611,-0.019191,0.044143,0.004092,0.140561,-0.009215,-0.021647,0.057729,-0.049960,0.046491,0.023424,-0.028578,-0.059964,0.009029,-0.012145,-0.055506,-0.023611,0.054042,0.028778,-0.011679,-0.033409,0.015600,-0.018788,0.049811,0.026037,0.068981,0.018148,0.021604,-0.025130,0.094891,0.020421,-0.036711,-0.046631,-0.067215,0.005495,-0.000322,-0.056427,-0.085527,0.083985,0.044036
0.046817,-0.000605,-0.000962,0.041884,0.048396,-0.024500,-0.000220,0.013245,0.077864,0.019074,0.055980,-0.019276,0.055817,-0.016112,0.048037,0.074512,-0.000534,-0.017135,0.051583,-0.025372,0.022816,-0.000110,0.056917,-0.050016,0.023567,0.004229,-0.058753,0.027888,0.034609,-0.027200,0.066415,-0.011105,0.002152,0.007386,-0.012088,-0.009802,0.025210,0.071274,0.003465,0.082377,0.006938,-0.029918,0.023692,-0.011617,0.008838,0.077292,0.021964,0.022895,-0.051423,-0.051261
-0.031532,0.001722,-0.038111,0.011993,-0.025713,-0.050729,-0.055701,-0.071371,-0.009599,-0.018919,0.008611,-0.024392,0.008862,0.013194,-0.021492,0.032995,-0.024417,-0.009603,-0.010623,-0.029392,0.004826,0.012661,-0.022222,-0.019098,-0.078009,0.032502,0.035707,0.018114,-0.085386,0.007567,-0.063591,-0.006707,0.035865,-0.010781,0.049641,-0.010324,-0.040327,-0.030969,0.044904,0.009804,0.009607,0.014695,-0.045617,0.002011,-0.070887,-0.072775,-0.023012,-0.081728,-0.003935,0.000512
0.098238,0.008721,-0.046510,-0.005713,0.050900,-0.000256,0.035810,0.121458,-0.065898,0.002521,0.021208,-0.000277,0.068656,-0.053706,0.069846,0.024675,-0.064168,0.047402,0.011675,0.039686,-0.044256,0.006660,-0.033060,0.003547,0.058659,0.005060,0.026229,0.035070,0.057863,0.026796,0.044506,0.020155,0.013189,0.021729,0.038706,0.002473,-0.006142,0.043362,0.015414,-0.050993,-0.024465,-0.050454,0.037916,-0.043866,0.036150,0.023780,0.054481,0.012895,0.041782,0.047149
-0.092454,-0.010359,0.010436,-0.019389,-0.012469,0.007644,0.095778,0.017749,-0.000133,-0.016215,0.048418,-0.027067,0.004601,0.050367,0.107013,0.031385,0.020926,0.040986,0.091556,0.103130,-0.044239,0.030487,0.090496,0.012030,-0.038466,0.063012,-0.017258,0.018759,-0.042408,0.066976,0.050671,0.020887,0.004375,-0.051383,0.022800,-0.035351,0.017002,-0.054654,0.033524,0.005759,-0.029878,-0.012535,0.007435,-0.000915,0.021274,0.026500,-0.018757,0.063423,0.044858,0.005887
0.015558,-0.028436,-0.052624,0.000096,0.013870,0.029303,-0.061486,-0.031470,-0.014164,-0.037662,-0.044704,-0.030061,0.056967,0.050883,0.010016,-0.020593,0.036585,-0.136531,-0.022893,-0.039018,-0.038455,-0.078491,-0.060201,-0.073036,0.032940,-0.037342,-0.046272,0.060248,-0.060424,0.017602,-0.043339,0.067901,-0.018967,-0.007461,-0.040834,0.002693,0.013267,0.034001,0.011615,-0.044114,-0.031313,0.014809,-0.042840,-0.028818,-0.038487,-0.104792,0.046126,-0.024041,-0.013319,-0.040559
-0.001322,-0.017956,0.141029,0.023677,-0.038327,-0.038208,-0.010406,0.024352,0.000218,-0.028150,0.015002,0.037030,0.000046,0.089956,0.057826,0.020917,-0.031045,-0.021947,0.076440,0.021715,-0.014581,0.071978,-0.016894,-0.004008,-0.021592,-0.039747,0.051450,-0.001850,0.007697,-0.007233,0.067319,-0.039213,-0.014975,0.060506,0.012080,0.013679,-0.013873,-0.011351,-0.013900,0.011142,0.019501,0.035283,0.046349,0.004363,-0.021255,-0.046581,-0.010066,0.009014,-0.070566,-0.019543
